time	V(a0)	V(a1)	V(a2)	V(a3)	V(a4)	V(a5)	V(a6)	V(a7)	V(a8)	V(a9)	V(a10)	V(a11)	V(a12)	V(a13)	V(a14)	V(a15)	V(b0)	V(b1)	V(b2)	V(b3)	V(b4)	V(b5)	V(b6)	V(b7)	V(b8)	V(b9)	V(b10)	V(b11)	V(b12)	V(b13)	V(b14)	V(b15)	V(cin)	V(cout)	V(f0)	V(f1)	V(f2)	V(f3)	V(f4)	V(f5)	V(f6)	V(f7)	V(f8)	V(f9)	V(f10)	V(f11)	V(f12)	V(f13)	V(f14)	V(f15)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	2.398513e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008
2.000000000000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	2.398513e-008	5.960464e-008	5.997572e-008	5.996844e-008	5.997435e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008
2.000000001591314e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	7.956567e-002	2.398513e-008	3.368723e-003	2.649129e-005	7.325553e-005	6.796912e-007	6.032323e-008	5.997674e-008	5.998255e-008	5.997442e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008
2.000000004773941e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	2.386970e-001	2.398513e-008	8.397361e-003	4.523728e-005	1.959671e-004	1.010133e-006	6.000012e-008	5.997291e-008	5.997634e-008	5.997432e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997435e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008
2.000000011139195e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.569597e-001	2.398513e-008	1.433782e-002	2.743655e-005	3.365969e-004	1.931053e-007	5.956512e-008	5.997268e-008	5.996265e-008	5.997433e-008	5.997436e-008	5.997436e-008	5.997435e-008	5.997435e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008
2.000000018229552e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	9.114776e-001	2.398513e-008	1.674583e-002	-6.313137e-006	4.508945e-004	-2.005476e-007	6.022179e-008	5.997873e-008	5.998091e-008	5.997449e-008	5.997435e-008	5.997436e-008	5.997435e-008	5.997435e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008
2.000000026477357e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	1.323868e+000	2.398513e-008	1.834407e-002	-3.102978e-005	7.022699e-004	3.979269e-007	6.020435e-008	5.997332e-008	5.998288e-008	5.997429e-008	5.997435e-008	5.997436e-008	5.997435e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008
2.000000034964482e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	1.748224e+000	2.398513e-008	4.586742e-002	-2.656885e-006	1.156845e-003	9.225843e-007	5.978618e-008	5.997167e-008	5.996625e-008	5.997428e-008	5.997435e-008	5.997436e-008	5.997435e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008
2.000000043733236e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	2.186662e+000	2.398513e-008	1.471294e-001	7.207941e-005	1.707159e-003	8.812357e-007	5.989830e-008	5.997580e-008	5.997078e-008	5.997445e-008	5.997435e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008
2.000000054235063e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	2.711753e+000	2.398513e-008	3.821487e-001	1.405904e-004	2.235761e-003	3.748173e-007	5.999355e-008	5.997442e-008	5.997646e-008	5.997433e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008	5.997436e-008
