time	V(a0)	V(a1)	V(a2)	V(a3)	V(a4)	V(a5)	V(a6)	V(a7)	V(a8)	V(a9)	V(a10)	V(a11)	V(a12)	V(a13)	V(a14)	V(a15)	V(b0)	V(b1)	V(b2)	V(b3)	V(b4)	V(b5)	V(b6)	V(b7)	V(b8)	V(b9)	V(b10)	V(b11)	V(b12)	V(b13)	V(b14)	V(b15)	V(f0)	V(f1)	V(f2)	V(f3)	V(f4)	V(f5)	V(f6)	V(f7)	V(f8)	V(f9)	V(f10)	V(f11)	V(f12)	V(f13)	V(f14)	V(f15)	V(s0)	V(s1)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.997047e-009	5.997047e-009	5.997046e-009	5.997046e-009	5.997046e-009	5.997046e-009	5.997046e-009	5.997046e-009	5.997046e-009	5.997046e-009	5.997046e-009	5.997046e-009	5.997047e-009	5.997046e-009	5.997046e-009	5.997047e-009	0.000000e+000	0.000000e+000
2.000000000000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.995389e-009	5.995389e-009	5.995389e-009	5.995389e-009	5.995389e-009	5.995389e-009	5.995389e-009	5.995389e-009	5.995389e-009	5.995389e-009	5.995389e-009	5.995389e-009	5.995389e-009	5.995389e-009	5.995389e-009	5.995389e-009	0.000000e+000	0.000000e+000
2.000000001603601e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	3.794560e-004	3.794560e-004	3.794560e-004	3.794560e-004	3.794560e-004	3.794560e-004	3.794560e-004	3.794560e-004	3.794560e-004	3.794560e-004	3.794560e-004	3.794560e-004	3.794560e-004	3.794560e-004	3.794560e-004	3.794560e-004	8.018005e-002	0.000000e+000
2.000000004810803e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	7.827160e-004	7.827160e-004	7.827160e-004	7.827160e-004	7.827160e-004	7.827160e-004	7.827160e-004	7.827160e-004	7.827160e-004	7.827160e-004	7.827160e-004	7.827160e-004	7.827160e-004	7.827160e-004	7.827160e-004	7.827160e-004	2.405402e-001	0.000000e+000
2.000000011225207e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	9.279337e-004	9.279337e-004	9.279338e-004	9.279338e-004	9.279338e-004	9.279338e-004	9.279338e-004	9.279338e-004	9.279338e-004	9.279338e-004	9.279338e-004	9.279338e-004	9.279338e-004	9.279338e-004	9.279338e-004	9.279338e-004	5.612603e-001	0.000000e+000
2.000000017794467e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	6.161080e-004	6.161080e-004	6.161077e-004	6.161077e-004	6.161077e-004	6.161077e-004	6.161077e-004	6.161077e-004	6.161077e-004	6.161077e-004	6.161077e-004	6.161077e-004	6.161077e-004	6.161077e-004	6.161077e-004	6.161077e-004	8.897234e-001	0.000000e+000
2.000000026104097e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-4.293078e-004	-4.293078e-004	-4.293091e-004	-4.293091e-004	-4.293091e-004	-4.293091e-004	-4.293091e-004	-4.293091e-004	-4.293091e-004	-4.293091e-004	-4.293091e-004	-4.293091e-004	-4.293091e-004	-4.293091e-004	-4.293091e-004	-4.293091e-004	1.305205e+000	0.000000e+000
2.000000033879859e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-1.622382e-003	-1.622382e-003	-1.622387e-003	-1.622387e-003	-1.622387e-003	-1.622387e-003	-1.622387e-003	-1.622387e-003	-1.622387e-003	-1.622387e-003	-1.622387e-003	-1.622387e-003	-1.622387e-003	-1.622387e-003	-1.622387e-003	-1.622387e-003	1.693993e+000	0.000000e+000
2.000000042318254e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-2.137410e-003	-2.137410e-003	-2.137423e-003	-2.137423e-003	-2.137423e-003	-2.137423e-003	-2.137423e-003	-2.137423e-003	-2.137423e-003	-2.137423e-003	-2.137423e-003	-2.137423e-003	-2.137423e-003	-2.137423e-003	-2.137423e-003	-2.137423e-003	2.115913e+000	0.000000e+000
2.000000045832875e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	-1.517614e-003	-1.517614e-003	-1.517629e-003	-1.517629e-003	-1.517629e-003	-1.517629e-003	-1.517629e-003	-1.517629e-003	-1.517629e-003	-1.517629e-003	-1.517629e-003	-1.517629e-003	-1.517629e-003	-1.517629e-003	-1.517629e-003	-1.517629e-003	2.291644e+000	0.000000e+000
