time	V(a0)	V(a1)	V(a2)	V(a3)	V(a4)	V(a5)	V(a6)	V(a7)	V(a8)	V(a9)	V(a10)	V(a11)	V(a12)	V(a13)	V(a14)	V(a15)	V(b0)	V(b1)	V(b2)	V(b3)	V(b4)	V(b5)	V(b6)	V(b7)	V(b8)	V(b9)	V(b10)	V(b11)	V(b12)	V(b13)	V(b14)	V(b15)	V(f0)	V(f1)	V(f2)	V(f3)	V(f4)	V(f5)	V(f6)	V(f7)	V(f8)	V(f9)	V(f10)	V(f11)	V(f12)	V(f13)	V(f14)	V(f15)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000
9.993436999999999e-003	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000
1.000000000000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000
1.000000000216006e-002	1.080029e-002	1.080029e-002	1.080029e-002	1.080029e-002	1.080029e-002	1.080029e-002	1.080029e-002	1.080029e-002	1.080029e-002	1.080029e-002	1.080029e-002	1.080029e-002	1.080029e-002	1.080029e-002	1.080029e-002	1.080029e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.001794e+000	5.001794e+000	5.001794e+000	5.001794e+000	5.001794e+000	5.001794e+000	5.001794e+000	5.001794e+000	5.001794e+000	5.001794e+000	5.001794e+000	5.001794e+000	5.001794e+000	5.001794e+000	5.001794e+000	5.001794e+000
1.000000000648018e-002	3.240088e-002	3.240088e-002	3.240088e-002	3.240088e-002	3.240088e-002	3.240088e-002	3.240088e-002	3.240088e-002	3.240088e-002	3.240088e-002	3.240088e-002	3.240088e-002	3.240088e-002	3.240088e-002	3.240088e-002	3.240088e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.004922e+000	5.004922e+000	5.004922e+000	5.004922e+000	5.004922e+000	5.004922e+000	5.004922e+000	5.004922e+000	5.004922e+000	5.004922e+000	5.004922e+000	5.004922e+000	5.004922e+000	5.004922e+000	5.004922e+000	5.004922e+000
1.000000001512041e-002	7.560204e-002	7.560204e-002	7.560204e-002	7.560204e-002	7.560204e-002	7.560204e-002	7.560204e-002	7.560204e-002	7.560204e-002	7.560204e-002	7.560204e-002	7.560204e-002	7.560204e-002	7.560204e-002	7.560204e-002	7.560204e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.009484e+000	5.009484e+000	5.009484e+000	5.009484e+000	5.009484e+000	5.009484e+000	5.009484e+000	5.009484e+000	5.009484e+000	5.009484e+000	5.009484e+000	5.009484e+000	5.009484e+000	5.009484e+000	5.009484e+000	5.009484e+000
1.000000003240087e-002	1.620044e-001	1.620044e-001	1.620044e-001	1.620044e-001	1.620044e-001	1.620044e-001	1.620044e-001	1.620044e-001	1.620044e-001	1.620044e-001	1.620044e-001	1.620044e-001	1.620044e-001	1.620044e-001	1.620044e-001	1.620044e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.014620e+000	5.014620e+000	5.014620e+000	5.014620e+000	5.014620e+000	5.014620e+000	5.014620e+000	5.014620e+000	5.014620e+000	5.014620e+000	5.014620e+000	5.014620e+000	5.014620e+000	5.014620e+000	5.014620e+000	5.014620e+000
1.000000006696181e-002	3.348090e-001	3.348090e-001	3.348090e-001	3.348090e-001	3.348090e-001	3.348090e-001	3.348090e-001	3.348090e-001	3.348090e-001	3.348090e-001	3.348090e-001	3.348090e-001	3.348090e-001	3.348090e-001	3.348090e-001	3.348090e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.018611e+000	5.018611e+000	5.018611e+000	5.018611e+000	5.018611e+000	5.018611e+000	5.018611e+000	5.018611e+000	5.018611e+000	5.018611e+000	5.018611e+000	5.018611e+000	5.018611e+000	5.018611e+000	5.018611e+000	5.018611e+000
1.000000013608367e-002	6.804184e-001	6.804184e-001	6.804184e-001	6.804184e-001	6.804184e-001	6.804184e-001	6.804184e-001	6.804184e-001	6.804184e-001	6.804184e-001	6.804184e-001	6.804184e-001	6.804184e-001	6.804184e-001	6.804184e-001	6.804184e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.018994e+000	5.018994e+000	5.018994e+000	5.018994e+000	5.018994e+000	5.018994e+000	5.018994e+000	5.018994e+000	5.018994e+000	5.018994e+000	5.018994e+000	5.018994e+000	5.018994e+000	5.018994e+000	5.018994e+000	5.018994e+000
1.000000024043549e-002	1.202177e+000	1.202177e+000	1.202177e+000	1.202177e+000	1.202177e+000	1.202177e+000	1.202177e+000	1.202177e+000	1.202177e+000	1.202177e+000	1.202177e+000	1.202177e+000	1.202177e+000	1.202177e+000	1.202177e+000	1.202177e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.008707e+000	5.008707e+000	5.008707e+000	5.008707e+000	5.008707e+000	5.008707e+000	5.008707e+000	5.008707e+000	5.008707e+000	5.008707e+000	5.008707e+000	5.008707e+000	5.008707e+000	5.008707e+000	5.008707e+000	5.008707e+000
