time	V(a0)	V(a1)	V(a2)	V(a3)	V(a4)	V(a5)	V(a6)	V(a7)	V(a8)	V(a9)	V(a10)	V(a11)	V(a12)	V(a13)	V(a14)	V(a15)	V(b0)	V(b1)	V(b2)	V(b3)	V(b4)	V(b5)	V(b6)	V(b7)	V(b8)	V(b9)	V(b10)	V(b11)	V(b12)	V(b13)	V(b14)	V(b15)	V(f0)	V(f1)	V(f2)	V(f3)	V(f4)	V(f5)	V(f6)	V(f7)	V(f8)	V(f9)	V(f10)	V(f11)	V(f12)	V(f13)	V(f14)	V(f15)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000
1.998533500000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000
2.000000000000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000
2.000000000200362e-002	1.001811e-002	1.001811e-002	1.001811e-002	1.001811e-002	1.001811e-002	1.001811e-002	1.001811e-002	1.001811e-002	1.001811e-002	1.001811e-002	1.001811e-002	1.001811e-002	1.001811e-002	1.001811e-002	1.001811e-002	1.001811e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.004055e+000	5.004055e+000	5.004055e+000	5.004055e+000	5.004055e+000	5.004055e+000	5.004055e+000	5.004055e+000	5.004055e+000	5.004055e+000	5.004055e+000	5.004055e+000	5.004055e+000	5.004055e+000	5.004055e+000	5.004055e+000
2.000000000601087e-002	3.005436e-002	3.005436e-002	3.005436e-002	3.005436e-002	3.005436e-002	3.005436e-002	3.005436e-002	3.005436e-002	3.005436e-002	3.005436e-002	3.005436e-002	3.005436e-002	3.005436e-002	3.005436e-002	3.005436e-002	3.005436e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.011392e+000	5.011392e+000	5.011392e+000	5.011392e+000	5.011392e+000	5.011392e+000	5.011392e+000	5.011392e+000	5.011392e+000	5.011392e+000	5.011392e+000	5.011392e+000	5.011392e+000	5.011392e+000	5.011392e+000	5.011392e+000
2.000000001402537e-002	7.012683e-002	7.012683e-002	7.012683e-002	7.012683e-002	7.012683e-002	7.012683e-002	7.012683e-002	7.012683e-002	7.012683e-002	7.012683e-002	7.012683e-002	7.012683e-002	7.012683e-002	7.012683e-002	7.012683e-002	7.012683e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.023418e+000	5.023418e+000	5.023418e+000	5.023418e+000	5.023418e+000	5.023418e+000	5.023418e+000	5.023418e+000	5.023418e+000	5.023418e+000	5.023418e+000	5.023418e+000	5.023418e+000	5.023418e+000	5.023418e+000	5.023418e+000
2.000000003005436e-002	1.502718e-001	1.502718e-001	1.502718e-001	1.502718e-001	1.502718e-001	1.502718e-001	1.502718e-001	1.502718e-001	1.502718e-001	1.502718e-001	1.502718e-001	1.502718e-001	1.502718e-001	1.502718e-001	1.502718e-001	1.502718e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.041247e+000	5.041247e+000	5.041247e+000	5.041247e+000	5.041247e+000	5.041247e+000	5.041247e+000	5.041247e+000	5.041247e+000	5.041247e+000	5.041247e+000	5.041247e+000	5.041247e+000	5.041247e+000	5.041247e+000	5.041247e+000
2.000000006211234e-002	3.105617e-001	3.105617e-001	3.105617e-001	3.105617e-001	3.105617e-001	3.105617e-001	3.105617e-001	3.105617e-001	3.105617e-001	3.105617e-001	3.105617e-001	3.105617e-001	3.105617e-001	3.105617e-001	3.105617e-001	3.105617e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.064164e+000	5.064164e+000	5.064164e+000	5.064164e+000	5.064164e+000	5.064164e+000	5.064164e+000	5.064164e+000	5.064164e+000	5.064164e+000	5.064164e+000	5.064164e+000	5.064164e+000	5.064164e+000	5.064164e+000	5.064164e+000
2.000000012622830e-002	6.311415e-001	6.311415e-001	6.311415e-001	6.311415e-001	6.311415e-001	6.311415e-001	6.311415e-001	6.311415e-001	6.311415e-001	6.311415e-001	6.311415e-001	6.311415e-001	6.311415e-001	6.311415e-001	6.311415e-001	6.311415e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.086196e+000	5.086196e+000	5.086196e+000	5.086196e+000	5.086196e+000	5.086196e+000	5.086196e+000	5.086196e+000	5.086196e+000	5.086196e+000	5.086196e+000	5.086196e+000	5.086196e+000	5.086196e+000	5.086196e+000	5.086196e+000
2.000000019918749e-002	9.959375e-001	9.959375e-001	9.959375e-001	9.959375e-001	9.959375e-001	9.959375e-001	9.959375e-001	9.959375e-001	9.959375e-001	9.959375e-001	9.959375e-001	9.959375e-001	9.959375e-001	9.959375e-001	9.959375e-001	9.959375e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.076461e+000	5.076461e+000	5.076461e+000	5.076461e+000	5.076461e+000	5.076461e+000	5.076461e+000	5.076461e+000	5.076461e+000	5.076461e+000	5.076461e+000	5.076461e+000	5.076461e+000	5.076461e+000	5.076461e+000	5.076461e+000
