time	V(a0)	V(a1)	V(a2)	V(a3)	V(a4)	V(a5)	V(a6)	V(a7)	V(a8)	V(a9)	V(a10)	V(a11)	V(a12)	V(a13)	V(a14)	V(a15)	V(f0)	V(f1)	V(f2)	V(f3)	V(f4)	V(f5)	V(f6)	V(f7)	V(f8)	V(f9)	V(f10)	V(f11)	V(f12)	V(f13)	V(f14)	V(f15)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000
1.102776250059827e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000
1.999993600002390e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000
2.000000000000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000	5.000000e+000
2.000000000216710e-002	1.083548e-002	1.083548e-002	1.083548e-002	1.083548e-002	1.083548e-002	1.083548e-002	1.083548e-002	1.083548e-002	1.083548e-002	1.083548e-002	1.083548e-002	1.083548e-002	1.083548e-002	1.083548e-002	1.083548e-002	1.083548e-002	5.003159e+000	5.003159e+000	5.003159e+000	5.003159e+000	5.003159e+000	5.003159e+000	5.003159e+000	5.003159e+000	5.003159e+000	5.003159e+000	5.003159e+000	5.003159e+000	5.003159e+000	5.003159e+000	5.003159e+000	5.003159e+000
2.000000000650129e-002	3.250644e-002	3.250644e-002	3.250644e-002	3.250644e-002	3.250644e-002	3.250644e-002	3.250644e-002	3.250644e-002	3.250644e-002	3.250644e-002	3.250644e-002	3.250644e-002	3.250644e-002	3.250644e-002	3.250644e-002	3.250644e-002	5.008695e+000	5.008695e+000	5.008695e+000	5.008695e+000	5.008695e+000	5.008695e+000	5.008695e+000	5.008695e+000	5.008695e+000	5.008695e+000	5.008695e+000	5.008695e+000	5.008695e+000	5.008695e+000	5.008695e+000	5.008695e+000
2.000000001516968e-002	7.584839e-002	7.584839e-002	7.584839e-002	7.584839e-002	7.584839e-002	7.584839e-002	7.584839e-002	7.584839e-002	7.584839e-002	7.584839e-002	7.584839e-002	7.584839e-002	7.584839e-002	7.584839e-002	7.584839e-002	7.584839e-002	5.016866e+000	5.016866e+000	5.016866e+000	5.016866e+000	5.016866e+000	5.016866e+000	5.016866e+000	5.016866e+000	5.016866e+000	5.016866e+000	5.016866e+000	5.016866e+000	5.016866e+000	5.016866e+000	5.016866e+000	5.016866e+000
2.000000003250646e-002	1.625323e-001	1.625323e-001	1.625323e-001	1.625323e-001	1.625323e-001	1.625323e-001	1.625323e-001	1.625323e-001	1.625323e-001	1.625323e-001	1.625323e-001	1.625323e-001	1.625323e-001	1.625323e-001	1.625323e-001	1.625323e-001	5.026304e+000	5.026304e+000	5.026304e+000	5.026304e+000	5.026304e+000	5.026304e+000	5.026304e+000	5.026304e+000	5.026304e+000	5.026304e+000	5.026304e+000	5.026304e+000	5.026304e+000	5.026304e+000	5.026304e+000	5.026304e+000
2.000000006718001e-002	3.359000e-001	3.359000e-001	3.359000e-001	3.359000e-001	3.359000e-001	3.359000e-001	3.359000e-001	3.359000e-001	3.359000e-001	3.359000e-001	3.359000e-001	3.359000e-001	3.359000e-001	3.359000e-001	3.359000e-001	3.359000e-001	5.034316e+000	5.034316e+000	5.034316e+000	5.034316e+000	5.034316e+000	5.034316e+000	5.034316e+000	5.034316e+000	5.034316e+000	5.034316e+000	5.034316e+000	5.034316e+000	5.034316e+000	5.034316e+000	5.034316e+000	5.034316e+000
2.000000011893435e-002	5.946718e-001	5.946718e-001	5.946718e-001	5.946718e-001	5.946718e-001	5.946718e-001	5.946718e-001	5.946718e-001	5.946718e-001	5.946718e-001	5.946718e-001	5.946718e-001	5.946718e-001	5.946718e-001	5.946718e-001	5.946718e-001	5.036133e+000	5.036133e+000	5.036133e+000	5.036133e+000	5.036133e+000	5.036133e+000	5.036133e+000	5.036133e+000	5.036133e+000	5.036133e+000	5.036133e+000	5.036133e+000	5.036133e+000	5.036133e+000	5.036133e+000	5.036133e+000
