time	V(a0)	V(a1)	V(a2)	V(a3)	V(a4)	V(a5)	V(a6)	V(a7)	V(a8)	V(a9)	V(a10)	V(a11)	V(a12)	V(a13)	V(a14)	V(a15)	V(b0)	V(b1)	V(b2)	V(b3)	V(b4)	V(b5)	V(b6)	V(b7)	V(b8)	V(b9)	V(b10)	V(b11)	V(b12)	V(b13)	V(b14)	V(b15)	V(f0)	V(f1)	V(f2)	V(f3)	V(f4)	V(f5)	V(f6)	V(f7)	V(f8)	V(f9)	V(f10)	V(f11)	V(f12)	V(f13)	V(f14)	V(f15)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	1.799267e-008	1.799267e-008	1.799267e-008	1.799267e-008	1.799267e-008	1.799267e-008	1.799267e-008	1.799267e-008	1.799267e-008	1.799267e-008	1.799267e-008	1.799267e-008	1.799267e-008	1.799267e-008	1.799267e-008	1.799267e-008
9.993436999999999e-003	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	1.799267e-008	1.799267e-008	1.799267e-008	1.799267e-008	1.799267e-008	1.799267e-008	1.799267e-008	1.799267e-008	1.799267e-008	1.799267e-008	1.799267e-008	1.799267e-008	1.799267e-008	1.799267e-008	1.799267e-008	1.799267e-008
1.000000000000000e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	1.816079e-008	1.816079e-008	1.816079e-008	1.816079e-008	1.816079e-008	1.816079e-008	1.816079e-008	1.816079e-008	1.816079e-008	1.816079e-008	1.816079e-008	1.816079e-008	1.816079e-008	1.816079e-008	1.816079e-008	1.816079e-008
1.000000000214518e-002	1.072589e-002	1.072589e-002	1.072589e-002	1.072589e-002	1.072589e-002	1.072589e-002	1.072589e-002	1.072589e-002	1.072589e-002	1.072589e-002	1.072589e-002	1.072589e-002	1.072589e-002	1.072589e-002	1.072589e-002	1.072589e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	5.311086e-004	5.311086e-004	5.311086e-004	5.311086e-004	5.311086e-004	5.311081e-004	5.311081e-004	5.311086e-004	5.311086e-004	5.311086e-004	5.311086e-004	5.311086e-004	5.311081e-004	5.311081e-004	5.311086e-004	5.311081e-004
1.000000000643553e-002	3.217766e-002	3.217766e-002	3.217766e-002	3.217766e-002	3.217766e-002	3.217766e-002	3.217766e-002	3.217766e-002	3.217766e-002	3.217766e-002	3.217766e-002	3.217766e-002	3.217766e-002	3.217766e-002	3.217766e-002	3.217766e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	1.441825e-003	1.441825e-003	1.441825e-003	1.441825e-003	1.441825e-003	1.441825e-003	1.441825e-003	1.441825e-003	1.441825e-003	1.441825e-003	1.441825e-003	1.441825e-003	1.441825e-003	1.441825e-003	1.441825e-003	1.441825e-003
1.000000001501624e-002	7.508120e-002	7.508120e-002	7.508120e-002	7.508120e-002	7.508120e-002	7.508120e-002	7.508120e-002	7.508120e-002	7.508120e-002	7.508120e-002	7.508120e-002	7.508120e-002	7.508120e-002	7.508120e-002	7.508120e-002	7.508120e-002	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	2.706429e-003	2.706429e-003	2.706429e-003	2.706429e-003	2.706429e-003	2.706429e-003	2.706429e-003	2.706429e-003	2.706429e-003	2.706429e-003	2.706429e-003	2.706429e-003	2.706429e-003	2.706429e-003	2.706429e-003	2.706429e-003
1.000000003217766e-002	1.608883e-001	1.608883e-001	1.608883e-001	1.608883e-001	1.608883e-001	1.608883e-001	1.608883e-001	1.608883e-001	1.608883e-001	1.608883e-001	1.608883e-001	1.608883e-001	1.608883e-001	1.608883e-001	1.608883e-001	1.608883e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	3.956966e-003	3.956966e-003	3.956966e-003	3.956966e-003	3.956966e-003	3.956966e-003	3.956966e-003	3.956966e-003	3.956966e-003	3.956966e-003	3.956966e-003	3.956966e-003	3.956966e-003	3.956966e-003	3.956966e-003	3.956966e-003
1.000000006650050e-002	3.325025e-001	3.325025e-001	3.325025e-001	3.325025e-001	3.325025e-001	3.325025e-001	3.325025e-001	3.325025e-001	3.325025e-001	3.325025e-001	3.325025e-001	3.325025e-001	3.325025e-001	3.325025e-001	3.325025e-001	3.325025e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.601071e-003	4.601071e-003	4.601071e-003	4.601071e-003	4.601071e-003	4.601071e-003	4.601071e-003	4.601071e-003	4.601071e-003	4.601071e-003	4.601071e-003	4.601071e-003	4.601071e-003	4.601071e-003	4.601071e-003	4.601071e-003
1.000000013514617e-002	6.757308e-001	6.757308e-001	6.757308e-001	6.757308e-001	6.757308e-001	6.757308e-001	6.757308e-001	6.757308e-001	6.757308e-001	6.757308e-001	6.757308e-001	6.757308e-001	6.757308e-001	6.757308e-001	6.757308e-001	6.757308e-001	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	4.263727e-003	4.263727e-003	4.263727e-003	4.263727e-003	4.263727e-003	4.263727e-003	4.263727e-003	4.263727e-003	4.263727e-003	4.263727e-003	4.263727e-003	4.263727e-003	4.263727e-003	4.263727e-003	4.263727e-003	4.263727e-003
1.000000021277816e-002	1.063891e+000	1.063891e+000	1.063891e+000	1.063891e+000	1.063891e+000	1.063891e+000	1.063891e+000	1.063891e+000	1.063891e+000	1.063891e+000	1.063891e+000	1.063891e+000	1.063891e+000	1.063891e+000	1.063891e+000	1.063891e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	2.554987e-003	2.554987e-003	2.554987e-003	2.554987e-003	2.554987e-003	2.554987e-003	2.554987e-003	2.554987e-003	2.554987e-003	2.554987e-003	2.554987e-003	2.554987e-003	2.554987e-003	2.554987e-003	2.554987e-003	2.554987e-003
